Date,Open,High,Low,Close,Adj Close,Volume
2019-02-01,54.009998,57.810001,51.230000,57.220001,57.220001,11198402
2019-03-01,57.220001,60.730000,54.520000,60.139999,60.139999,12715337
2019-04-01,60.240002,66.599998,60.130001,63.910000,63.910000,14068153
2019-05-01,63.400002,63.930000,53.049999,53.500000,53.500000,16862619
2019-06-01,53.419998,60.099998,50.599998,59.430000,59.430000,1351494856
2019-07-01,59.270000,60.939999,54.720001,57.529999,57.529999,1089175882
2019-08-01,57.849998,57.990002,50.520000,55.160000,55.160000,1442450962
2019-09-01,55.000000,63.380001,52.840000,54.230000,54.230000,5773389341
2019-10-01,54.279999,56.919998,50.990002,54.180000,54.180000,11751844
2019-11-01,54.150002,58.740002,54.070000,55.590000,55.590000,676440511
2019-12-01,55.470001,62.340000,0.000000,61.060001,61.060001,3457298810
2020-01-01,61.599998,65.650002,50.970001,51.630001,51.630001,5517652662
2020-02-01,51.009998,54.500000,43.849998,50.110001,50.110001,5631991636
2020-03-01,43.720001,48.660000,19.270000,20.480000,20.480000,2552700427
2020-04-01,20.100000,29.129999,-40.320000,18.840000,18.840000,23697126
2020-05-01,19.040001,35.770000,18.049999,35.270000,35.270000,68884291
2020-06-01,35.209999,41.630001,34.270000,39.270000,39.270000,11072721
2020-07-01,39.840000,42.400002,38.540001,40.270000,40.270000,8591866
2020-08-01,40.389999,43.779999,39.580002,42.610001,42.610001,8719901
2020-09-01,42.830002,43.430000,36.130001,40.220001,40.220001,7025110
2020-10-01,39.900002,41.700001,34.919998,35.790001,35.790001,7685767
2020-11-01,35.240002,46.259998,33.639999,45.529999,45.529999,6956730
2020-11-27,45.900002,46.090000,44.549999,45.529999,45.529999,351413
