Date,Open,High,Low,Close,Adj Close,Volume
2019-02-01,2702.320068,2813.489990,2681.830078,2784.489990,2784.489990,70183430000
2019-03-01,2798.219971,2860.310059,2722.270020,2834.399902,2834.399902,78596280000
2019-04-01,2848.629883,2949.520020,2848.629883,2945.830078,2945.830078,69604840000
2019-05-01,2952.330078,2954.129883,2750.520020,2752.060059,2752.060059,76860120000
2019-06-01,2751.530029,2964.149902,2728.810059,2941.760010,2941.760010,70881390000
2019-07-01,2971.409912,3027.979980,2952.219971,2980.379883,2980.379883,70349470000
2019-08-01,2980.320068,3013.590088,2822.120117,2926.459961,2926.459961,79599440000
2019-09-01,2909.010010,3021.989990,2891.850098,2976.739990,2976.739990,73992330000
2019-10-01,2983.689941,3050.100098,2855.939941,3037.560059,3037.560059,77564550000
2019-11-01,3050.719971,3154.260010,3050.719971,3140.979980,3140.979980,72179920000
2019-12-01,3143.850098,3247.929932,3070.330078,3230.780029,3230.780029,72054000000
2020-01-01,3244.669922,3337.770020,3214.639893,3225.520020,3225.520020,77104420000
2020-02-01,3235.659912,3393.520020,2855.840088,2954.219971,2954.219971,84292270000
2020-03-01,2974.280029,3136.719971,2191.860107,2584.590088,2584.590088,161801100000
2020-04-01,2498.080078,2954.860107,2447.489990,2912.429932,2912.429932,123163450000
2020-05-01,2869.090088,3068.669922,2766.639893,3044.310059,3044.310059,106799100000
2020-06-01,3038.780029,3233.129883,2965.659912,3100.290039,3100.290039,131044000000
2020-07-01,3105.919922,3279.989990,3101.169922,3271.120117,3271.120117,97197020000
2020-08-01,3288.260010,3514.770020,3284.530029,3500.310059,3500.310059,84402300000
2020-09-01,3507.439941,3588.110107,3209.449951,3363.000000,3363.000000,92084120000
2020-10-01,3385.870117,3549.850098,3233.939941,3269.959961,3269.959961,89737600000
2020-11-01,3296.199951,3645.989990,3279.739990,3638.350098,3638.350098,94686480000
2020-11-27,3638.550049,3644.310059,3629.330078,3638.350098,3638.350098,1222837647
